Mar. 17, 2017   14:46:59
Chronopotentiometry
File: e:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.024
Anodic Current (A) = 0.024
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.4
High E Hold Time (s) = 3
Low E Limit (V) = 0
Low E Hold Time (s) = 3
Cathodic Time (s) = 1000
Anodic Time (s) = 1000
Current Switching Polarity = Potential
Segment = 1000

Time/sec, Potential/V
1.980e+1, 3.258e-1
1.990e+1, 3.300e-1
2.000e+1, 3.344e-1
2.010e+1, 3.389e-1
2.020e+1, 3.436e-1
2.030e+1, 3.486e-1
2.040e+1, 3.537e-1
2.050e+1, 3.591e-1
2.060e+1, 3.648e-1
2.070e+1, 3.707e-1
2.080e+1, 3.767e-1
2.090e+1, 3.828e-1
2.100e+1, 3.891e-1
2.110e+1, 3.954e-1
2.120e+1, 3.681e-1
2.130e+1, 3.515e-1
2.140e+1, 3.389e-1
2.150e+1, 3.280e-1
2.160e+1, 3.183e-1
2.170e+1, 3.097e-1
2.180e+1, 3.021e-1
2.190e+1, 2.952e-1
2.200e+1, 2.889e-1
2.210e+1, 2.830e-1
2.220e+1, 2.775e-1
2.230e+1, 2.723e-1
2.240e+1, 2.671e-1
2.250e+1, 2.620e-1
2.260e+1, 2.569e-1
2.270e+1, 2.518e-1
2.280e+1, 2.466e-1
2.290e+1, 2.414e-1
2.300e+1, 2.361e-1
2.310e+1, 2.307e-1
2.320e+1, 2.253e-1
2.330e+1, 2.200e-1
2.340e+1, 2.146e-1
2.350e+1, 2.094e-1
2.360e+1, 2.042e-1
2.370e+1, 1.991e-1
2.380e+1, 1.942e-1
2.390e+1, 1.895e-1
2.400e+1, 1.850e-1
2.410e+1, 1.806e-1
2.420e+1, 1.764e-1
2.430e+1, 1.725e-1
2.440e+1, 1.688e-1
2.450e+1, 1.653e-1
2.460e+1, 1.621e-1
2.470e+1, 1.591e-1
2.480e+1, 1.563e-1
2.490e+1, 1.538e-1
2.500e+1, 1.515e-1
2.510e+1, 1.494e-1
2.520e+1, 1.474e-1
2.530e+1, 1.456e-1
2.540e+1, 1.439e-1
2.550e+1, 1.423e-1
2.560e+1, 1.408e-1
2.570e+1, 1.394e-1
2.580e+1, 1.381e-1
2.590e+1, 1.369e-1
2.600e+1, 1.357e-1
2.610e+1, 1.346e-1
2.620e+1, 1.335e-1
2.630e+1, 1.325e-1
2.640e+1, 1.315e-1
2.650e+1, 1.306e-1
2.660e+1, 1.298e-1
2.670e+1, 1.291e-1
2.680e+1, 1.283e-1
2.690e+1, 1.277e-1
2.700e+1, 1.271e-1
2.710e+1, 1.265e-1
2.720e+1, 1.260e-1
2.730e+1, 1.254e-1
2.740e+1, 1.249e-1
2.750e+1, 1.244e-1
2.760e+1, 1.239e-1
2.770e+1, 1.233e-1
2.780e+1, 1.228e-1
2.790e+1, 1.223e-1
2.800e+1, 1.217e-1
2.810e+1, 1.212e-1
2.820e+1, 1.206e-1
2.830e+1, 1.200e-1
2.840e+1, 1.194e-1
2.850e+1, 1.188e-1
2.860e+1, 1.182e-1
2.870e+1, 1.177e-1
2.880e+1, 1.171e-1
2.890e+1, 1.164e-1
2.900e+1, 1.157e-1
2.910e+1, 1.150e-1
2.920e+1, 1.143e-1
2.930e+1, 1.135e-1
2.940e+1, 1.128e-1
2.950e+1, 1.120e-1
2.960e+1, 1.112e-1
2.970e+1, 1.103e-1
2.980e+1, 1.095e-1
2.990e+1, 1.086e-1
3.000e+1, 1.076e-1
3.010e+1, 1.066e-1
3.020e+1, 1.055e-1
3.030e+1, 1.043e-1
3.040e+1, 1.031e-1
3.050e+1, 1.016e-1
3.060e+1, 1.000e-1
3.070e+1, 9.823e-2
3.080e+1, 9.607e-2
3.090e+1, 9.342e-2
3.100e+1, 8.998e-2
3.110e+1, 8.540e-2
3.120e+1, 7.917e-2
3.130e+1, 7.116e-2
3.140e+1, 6.193e-2
3.150e+1, 5.225e-2
3.160e+1, 4.255e-2
3.170e+1, 3.310e-2
3.180e+1, 2.396e-2
3.190e+1, 1.521e-2
3.200e+1, 6.806e-3
3.210e+1, 1.973e-1
3.220e+1, 1.989e-1
3.230e+1, 1.990e-1
3.240e+1, 1.993e-1
3.250e+1, 1.998e-1
3.260e+1, 2.003e-1
3.270e+1, 2.009e-1
3.280e+1, 2.014e-1
3.290e+1, 2.019e-1
3.300e+1, 2.025e-1
3.310e+1, 2.030e-1
3.320e+1, 2.035e-1
3.330e+1, 2.041e-1
3.340e+1, 2.046e-1
3.350e+1, 2.051e-1
3.360e+1, 2.057e-1
3.370e+1, 2.062e-1
3.380e+1, 2.068e-1
3.390e+1, 2.073e-1
3.400e+1, 2.079e-1
3.410e+1, 2.085e-1
